YEAR,QUARTER,ID,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6
2004,2,456,130327.0,131187.0,131937.0,132537.0,133062.0,133737.0
2004,2,463,130327.0,131103.0,131639.0,132166.0,132697.0,133232.0
2004,2,472,130327.0,131045.0,131514.0,132006.0,132160.0,132314.0
2004,2,483,130362.0,131137.0,131788.0,132442.0,133034.0,133629.0
2004,2,484,130327.0,130770.0,131306.0,131907.0,132352.0,132964.0
2004,2,497,,,,,,
2004,2,498,,,,,,
2004,2,504,130362.0,131052.0,131712.0,132414.0,133314.0,134214.0
2004,2,506,130327.0,130850.0,131478.0,132157.0,132765.0,133480.0
2004,2,507,,,,,,
2004,2,508,,,,,,
2004,2,510,130327.0,131049.0,131823.0,132761.0,133451.0,134252.0
2004,2,512,130327.0,131059.0,131363.0,131652.0,132005.0,132725.0
2004,2,518,130327.0,130842.0,131393.0,131887.0,132436.0,133090.0
2004,2,519,130327.0,131134.0,131752.0,132485.0,133180.0,133956.0
2004,2,520,,,,,,
2004,2,521,130327.0,130888.0,131438.0,132028.0,132588.0,133128.0
2004,2,524,130327.0,130826.0,131290.0,131706.0,131978.0,132130.0
2004,2,526,130327.0,130993.0,131896.0,132941.0,134023.0,135052.0
2004,3,20,131148.0,131315.0,131615.0,131940.0,132670.0,133110.0
2004,3,40,131148.0,131400.0,132000.0,132900.0,133500.0,134200.0
2004,3,65,,,,,,
2004,3,84,131119.0,131400.0,131900.0,132300.0,132700.0,133100.0
2004,3,420,,,,,,
2004,3,421,,,,,,
2004,3,429,131119.0,131422.0,131932.0,132447.0,132901.0,133344.0
2004,3,433,131148.0,131714.0,132226.0,132667.0,133190.0,133713.0
2004,3,446,131148.0,131440.0,132120.0,132700.0,133300.0,133900.0
2004,3,448,131119.0,131430.0,131940.0,132425.0,132905.0,133327.0
2004,3,456,131148.0,131898.0,132648.0,133323.0,133848.0,134373.0
2004,3,483,131148.0,131733.0,132387.0,132979.0,133573.0,134137.0
2004,3,484,131148.0,131686.0,132288.0,132735.0,133349.0,133915.0
2004,3,497,,,,,,
2004,3,498,,,,,,
2004,3,504,131148.0,131397.0,131814.0,132714.0,133614.0,134514.0
2004,3,506,131119.0,131419.0,132000.0,132527.0,133172.0,133712.0
2004,3,507,,,,,,
2004,3,508,131148.0,131525.0,132498.0,133288.0,133925.0,134992.0
2004,3,510,131148.0,131835.0,132758.0,133600.0,134611.0,135583.0
2004,3,512,131148.0,131360.0,131652.0,132005.0,132519.0,133012.0
2004,3,516,131148.0,131475.0,132127.0,132783.0,133409.0,134006.0
2004,3,518,131148.0,131351.0,131752.0,132180.0,132679.0,133181.0
2004,3,519,131119.0,131461.0,132112.0,132739.0,133540.0,134246.0
2004,3,520,,,,,,
2004,3,521,131148.0,131890.0,132534.0,133093.0,133697.0,134367.0
2004,3,523,131148.0,131193.0,131324.0,131529.0,131734.0,131940.0
2004,3,524,131148.0,131674.0,132397.0,133056.0,133594.0,133982.0
2004,3,526,131148.0,131850.0,132455.0,133251.0,134015.0,134769.0
2004,3,527,131118.0,131570.0,132075.0,132600.0,133150.0,133675.0
2004,4,20,,,,,,
2004,4,65,,,,,,
2004,4,84,,,,,,
2004,4,99,,,,,,
2004,4,405,131460.0,132225.0,132803.0,133353.0,133981.0,134533.0
2004,4,411,131460.0,131992.0,132592.0,133219.0,133835.0,134409.0
2004,4,420,,,,,,
2004,4,421,,,,,,
2004,4,423,131460.0,132017.0,132770.0,133272.0,133776.0,134281.0
2004,4,426,131460.0,131700.0,132200.0,132700.0,132900.0,133000.0
2004,4,428,131521.0,132191.0,132782.0,133363.0,133958.0,134483.0
2004,4,429,131521.0,132201.0,132766.0,133266.0,133749.0,134228.0
2004,4,433,131521.0,132182.0,132497.0,132855.0,133289.0,133746.0
2004,4,446,131500.0,132200.0,132800.0,133400.0,134000.0,134500.0
2004,4,448,131521.0,132159.0,132645.0,133121.0,133547.0,134012.0
2004,4,456,,,,,,
2004,4,472,131460.0,131794.0,132184.0,132669.0,132992.0,133302.0
2004,4,483,131521.0,132174.0,132895.0,133620.0,134349.0,135082.0
2004,4,484,131460.0,131965.0,132427.0,132907.0,133422.0,133956.0
2004,4,497,,,,,,
2004,4,498,,,,,,
2004,4,504,131460.0,131984.0,132884.0,133784.0,134684.0,135584.0
2004,4,506,131521.0,132167.0,132720.0,133314.0,133774.0,134196.0
2004,4,507,,,,,,
2004,4,508,131460.0,131920.0,132770.0,133720.0,134320.0,135260.0
2004,4,510,131460.0,132120.0,132946.0,133957.0,134929.0,135840.0
2004,4,516,131460.0,131793.0,132280.0,133167.0,133626.0,134083.0
2004,4,518,131460.0,132003.0,132515.0,133027.0,133705.0,134222.0
2004,4,520,131460.0,132060.0,132510.0,132900.0,133290.0,133680.0
2004,4,521,131460.0,131863.0,132314.0,132728.0,133441.0,134063.0
2004,4,523,131460.0,131981.0,132553.0,133089.0,133646.0,134176.0
2004,4,524,131460.0,131505.0,131837.0,132156.0,132407.0,132545.0
2004,4,526,131460.0,131856.0,132563.0,133311.0,134042.0,134775.0
2004,4,527,131460.0,131750.0,132080.0,132425.0,132800.0,133195.0
2005,1,20,132116.0,132553.0,132992.0,133429.0,133868.0,134309.0
